"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","immig_attitude"
96,100,95,94,2,99,98,30,71,1,45,6,5,100,0,"lightly favorable"
99,100,99,100,70,100,100,1,50,1,30,80,26,100,1,"unfavorable/indifferent"
50,100,69,96,19,100,99,18,14,9,32,61,4,100,66,"strongly unfavorable"
78,78,77,79,51,78,93,20,50,4,44,51,54,96,51,"unfavorable/indifferent"
100,100,68,77,71,68,100,59,70,66,76,69,87,100,60,"lightly favorable"
50,31,50,50,51,27,13,60,51,51,0,56,59,2,0,"lightly favorable"
75,75,100,87,61,100,99,50,69,31,16,31,32,92,3,"lightly favorable"
66,75,65,71,70,70,70,70,70,21,60,50,40,75,50,"lightly favorable"
20,80,80,90,0,100,100,10,60,0,30,11,41,100,100,"lightly favorable"
51,51,51,51,51,51,51,61,51,52,31,51,83,32,1,"lightly favorable"
49,49,49,100,40,100,24,90,74,62,0,100,47,30,0,"lightly favorable"
72,77,76,82,73,80,46,74,78,77,38,77,68,84,0,"favorable"
57,90,80,81,34,88,90,23,36,11,29,89,49,91,97,"unfavorable/indifferent"
100,72,100,33,6,50,100,100,50,92,3,100,100,53,0,"unfavorable/indifferent"
82,70,82,81,7,69,88,10,51,5,34,10,42,97,11,"lightly favorable"
50,51,50,51,50,51,50,0,20,0,50,50,0,100,70,"strongly unfavorable"
100,30,99,99,97,100,87,100,99,99,30,100,61,20,2,"favorable"
55,56,52,83,20,54,26,69,55,51,6,56,5,53,3,"lightly favorable"
60,95,50,90,25,90,80,25,40,0,80,50,0,90,80,"unfavorable/indifferent"
11,99,26,79,8,6,100,0,4,0,0,0,3,81,80,"strongly unfavorable"
31,100,78,81,10,50,52,31,50,11,11,51,80,70,50,"unfavorable/indifferent"
100,79,98,97,100,98,90,100,88,97,31,97,75,89,0,"favorable"
100,75,100,80,79,68,99,76,100,51,2,56,30,95,1,"favorable"
82,72,88,79,51,75,99,22,74,26,25,72,3,97,19,"lightly favorable"
100,100,100,100,85,100,100,29,35,32,26,11,16,100,70,"unfavorable/indifferent"
90,50,50,50,50,50,50,3,50,11,6,50,5,81,34,"unfavorable/indifferent"
95,79,95,96,80,95,95,90,81,79,3,78,95,49,6,"favorable"
50,50,50,50,0,100,100,25,60,0,50,25,5,100,50,"lightly favorable"
51,51,51,51,51,51,51,51,50,3,49,51,35,80,50,"unfavorable/indifferent"
51,51,65,70,40,81,91,39,77,5,47,35,5,82,51,"favorable"
50,51,54,92,50,51,50,19,52,3,22,50,50,100,8,"lightly favorable"
